frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,481.59955,143.66707,486.2088,138.30968,475.99512,138.43742,492.85742,139.40923,463.65237,139.72751,505.36462,166.49649,444.58807,171.775,518.3299,207.61513,448.6218,224.59291,503.4322,251.03737,475.083,257.703,491.33258,248.70213,450.25922,250.1008,503.9807,315.7149,442.9225,314.18445,521.6167,390.55545,424.51437,387.6858
1,481.60028,143.66853,486.20908,138.31111,475.99567,138.43927,492.8572,139.4096,463.65134,139.7282,505.3683,166.49348,444.591,171.77032,518.3312,207.60754,448.6213,224.594,503.4364,251.02638,475.09073,257.69864,491.34006,248.70515,450.26706,250.10382,503.99286,315.71454,442.92706,314.18524,521.6215,390.5535,424.51883,387.6865
2,481.60028,143.66853,486.20908,138.31111,475.99567,138.43927,492.8572,139.4096,463.65134,139.7282,505.3683,166.49348,444.591,171.77032,518.3312,207.60754,448.6213,224.594,503.4364,251.02638,475.09073,257.69864,491.34006,248.70515,450.26706,250.10382,503.99286,315.71454,442.92706,314.18524,521.6215,390.5535,424.51883,387.6865
3,480.63574,145.06421,485.4925,139.69815,474.9049,139.7242,492.28043,140.68785,462.298,140.78123,504.30637,166.53693,443.7397,171.9133,517.5476,208.2077,447.56903,224.62665,503.1029,251.85701,473.56516,258.1321,490.84384,249.15022,449.63486,250.74179,504.5452,315.4161,441.95377,314.5408,522.5458,390.49756,425.4359,388.75467
4,483.5694,146.39134,487.6286,140.91188,477.4085,141.14598,492.23126,141.84311,462.3609,142.4293,503.89047,166.9861,443.64288,172.72505,516.7716,209.09851,447.07077,225.5239,502.0772,253.27623,474.34647,258.52295,491.379,248.82338,450.1597,250.49301,506.5472,314.9627,443.41742,313.2242,524.1052,390.1362,427.2718,388.74072
5,487.2382,143.26189,490.0508,137.94496,480.36536,138.50218,492.19092,140.9102,462.95068,142.4236,503.026,167.82054,443.6993,174.32921,516.84296,206.80876,446.52042,225.97517,502.87625,251.29031,472.80386,259.30396,491.57645,250.12724,450.8253,252.33208,506.0066,315.1358,444.60446,314.31714,523.229,389.22812,428.10947,387.85883
6,484.16455,145.8141,487.3528,140.49112,478.0548,141.01654,490.75827,142.27484,463.0586,143.66359,503.74576,169.35028,444.65125,175.78352,516.7218,208.94576,446.78937,226.43752,503.19278,252.43573,472.6884,258.75266,492.4647,251.10522,452.03058,253.00703,506.46475,315.78824,446.0396,314.26794,523.91815,389.12216,430.00357,388.52124
7,485.55206,146.90054,488.75015,141.51846,479.03482,142.12534,492.0031,143.54387,463.14203,145.13535,504.2032,170.24504,444.8143,176.90742,517.3362,209.51828,446.62897,227.6992,501.8144,253.98781,473.22302,258.95715,493.22952,252.46567,452.60785,254.5431,506.7076,316.45404,446.59482,314.97064,524.0346,389.00302,429.8669,389.65958
8,487.10275,148.52278,490.39496,143.22736,480.62296,143.61061,493.3067,145.10106,464.0257,146.14566,504.5425,170.45084,445.59525,177.9067,517.7669,208.66112,447.29364,228.63689,503.42596,253.71646,473.5071,259.36124,494.30853,252.60078,453.923,254.92107,507.3064,316.66617,446.05533,314.78238,524.36847,389.2921,430.49127,389.20782
9,480.27228,151.56618,485.3332,145.75705,473.72382,146.4127,492.49332,146.40843,460.85797,147.98958,504.54675,172.12326,445.0855,179.39716,515.7337,211.58578,447.16104,229.13998,503.7939,254.20901,472.7557,260.22913,493.61618,253.97105,453.19962,256.03177,507.29565,317.17438,446.5639,314.8512,523.8226,388.71912,429.2847,387.7517
10,490.49753,150.53973,492.0586,145.234,484.16483,145.916,491.7178,147.3538,465.5423,148.97258,503.14807,174.72307,444.5456,180.47499,515.6966,217.83281,447.2771,230.06004,500.5199,262.89032,472.1263,262.00085,492.28192,255.69554,451.9518,257.6361,506.89328,317.55728,446.2538,316.40604,522.9237,389.37033,429.1785,387.9626
11,486.3837,154.35817,490.28247,148.61081,479.3086,149.20149,494.1433,150.22096,462.65826,151.52211,504.006,176.72635,445.13803,181.9538,515.64197,217.91628,447.21628,231.10446,501.84592,260.94388,473.07983,261.56653,491.51028,255.60835,451.3558,256.9603,507.3882,316.92282,446.9934,313.7093,522.7648,389.07825,428.84433,387.50922
12,483.0808,156.74503,487.64603,150.83414,475.74182,151.54614,493.00388,152.2333,459.7743,153.8443,503.51816,179.44455,444.1613,184.29933,514.04047,221.45,444.86243,232.10524,500.45798,262.8828,468.36273,262.00464,492.46848,259.0491,452.31482,260.1107,507.32187,318.94626,444.5825,315.08932,522.37463,389.35025,428.4154,386.17355
13,486.25217,156.76526,489.532,151.40942,479.0445,151.61467,492.03348,154.29343,460.37042,154.82915,502.34232,181.9548,443.44327,186.91724,511.94858,223.12344,447.99585,235.23102,498.39645,267.8613,474.8034,266.74347,491.99008,260.67654,451.92667,261.76184,507.1634,318.4139,444.96454,314.60526,520.96655,389.48007,427.3057,386.0959
14,486.50928,158.70668,489.28632,153.38173,479.52853,153.37154,490.22937,156.01704,459.80197,156.09702,499.95645,181.50296,442.07712,189.14545,511.30573,223.00883,450.3514,239.78279,497.39493,270.19806,477.45386,273.8243,490.2348,259.45364,450.46872,261.80753,506.2799,317.43872,443.8687,316.08307,520.3333,389.8719,426.2177,385.6466
15,485.23053,161.00572,487.0649,155.78792,479.07355,156.07048,487.38147,158.8536,461.1469,159.85457,499.27515,185.54561,442.4679,194.44952,510.98407,225.98882,451.0546,244.46596,500.9721,268.3331,478.41464,278.87424,491.71036,265.02216,452.4929,268.25272,509.44165,320.9048,443.00317,322.83362,521.5837,390.3584,425.213,380.8977
16,493.32596,161.5582,491.99908,156.65205,488.098,157.32373,487.0872,160.21317,468.76724,162.39513,500.42636,187.65755,445.4118,197.66687,509.55728,232.62169,453.1185,252.04602,498.50925,274.9238,481.22586,282.92307,492.8465,267.27838,453.36398,271.01068,511.60388,319.98166,446.63977,321.05313,523.0899,391.6039,427.11337,385.04773
17,486.08096,172.74258,487.90103,167.31293,480.70782,167.63724,488.0789,167.08856,462.9693,167.93527,499.34692,189.84639,444.54248,197.4982,508.1238,232.53378,452.1053,247.72336,495.9414,272.101,473.94586,279.77646,495.30396,270.4572,456.4419,274.00565,512.55786,325.0223,445.006,331.1135,523.59094,392.31863,426.61334,391.67593
18,496.55606,163.37405,495.19012,158.46602,491.05338,159.25488,490.15915,161.90118,471.1467,164.38051,501.6255,188.9578,447.10425,197.65854,508.74484,235.20567,453.49277,249.66371,495.89688,278.2241,476.71887,283.84924,494.82355,269.8876,455.1337,274.22174,512.3796,321.998,444.34854,328.99783,522.9816,391.26288,430.2933,392.52237
19,493.5169,169.43198,493.1094,164.54597,488.2349,164.93839,489.34335,166.46707,468.02902,167.71872,501.15356,191.1279,445.06537,198.32617,511.53348,232.85493,451.97995,248.48079,498.00937,273.7767,477.54648,279.1497,493.6938,269.70068,453.98984,272.73227,511.98407,322.10986,442.90762,325.72977,522.8034,391.4083,425.04657,386.56393
20,492.36252,166.29645,493.34024,161.4519,488.19543,161.69563,492.89902,162.36932,472.51788,163.21199,504.44608,184.67941,448.7102,195.50987,517.19025,223.64523,454.50146,247.18138,508.4619,263.03833,480.8575,278.9947,494.25043,265.5441,454.95767,269.00552,512.6898,323.35114,447.7139,322.37534,522.8678,392.0892,426.3193,387.89273
21,494.66003,163.3727,495.22095,158.7591,489.83694,159.03575,493.3719,160.41924,472.19147,161.20746,504.56293,185.83311,447.90125,194.277,519.4578,223.96223,449.4,243.67351,509.791,264.86035,476.34595,269.89062,493.04785,261.30283,453.47208,263.8622,510.69153,316.3722,445.61856,314.17044,521.05145,389.3268,426.64948,385.78558
22,498.76443,161.356,499.41428,156.5051,492.75916,156.73724,497.02832,159.72939,472.7931,160.1951,506.04263,187.74644,447.53125,193.64531,520.70654,225.93936,445.2362,241.2847,506.3875,266.72433,474.1268,267.01614,494.55298,264.57184,454.25647,266.84067,509.82697,319.76233,443.68524,319.8684,521.22736,391.03925,426.09863,389.7343
23,496.82547,162.08615,498.93005,156.83234,490.2497,157.1014,498.86685,159.40685,471.0142,159.86931,507.75177,188.0908,446.36688,193.66594,521.2407,225.98784,437.51663,241.21638,510.11182,264.87747,457.06226,258.23553,494.78156,266.50192,453.64194,268.4558,509.36774,320.7523,443.68866,320.0657,520.8299,389.61905,426.38504,389.00253
24,498.87344,161.88103,500.26306,156.59949,492.43988,156.84225,498.88025,159.20604,472.3788,159.48734,508.85556,188.35124,445.5046,191.8925,522.1394,226.74437,427.29965,234.93939,511.4309,262.824,450.9396,252.75218,495.9502,268.0178,454.27945,269.45966,508.19485,323.09897,444.04395,321.96133,519.72437,390.24646,425.72186,389.08926
25,499.67844,161.56224,501.27454,156.27075,493.08978,156.50883,500.26,159.29247,473.35825,159.50371,509.2813,187.83075,445.4765,190.2416,522.5691,225.92772,423.56128,230.17395,510.97302,263.32034,448.54935,248.66557,495.0496,267.8262,453.327,269.2593,507.68378,323.24707,444.13644,323.7868,519.91254,391.13162,424.50317,390.41855
26,498.757,161.52745,500.06384,156.2576,492.43033,156.46225,498.66846,159.1455,473.12427,159.27211,507.87637,188.38911,444.55307,189.61998,521.418,224.61253,421.87482,227.32193,510.41147,259.32,453.9907,245.58842,492.76074,267.08765,451.2414,268.27164,505.8907,321.86856,445.2913,321.92957,518.95465,390.80118,423.70297,390.8587
27,497.4407,161.61581,499.10968,156.3334,491.01392,156.42235,498.02618,159.13626,472.75607,159.35925,506.0276,188.8085,445.23972,186.63522,519.2848,223.7965,408.78387,212.40863,507.0453,258.4159,446.4661,236.56381,490.85443,265.27725,449.9325,265.7897,506.9208,321.2416,446.01904,322.43185,519.73737,394.1097,423.2527,392.00214
28,498.09262,161.85391,499.93427,156.79466,491.7227,156.60696,498.87216,160.16888,473.7211,159.75604,505.62338,187.99648,446.277,183.06052,520.3758,221.17487,403.94193,199.06633,504.3574,256.15854,439.39322,226.18956,489.0686,260.86658,448.1734,261.5809,510.28757,314.21793,447.69348,320.4835,520.39,393.2431,423.4898,392.1523
29,499.8086,161.32639,501.41263,156.16856,493.46405,155.92644,500.47144,159.92577,474.54047,158.84972,507.27704,188.6929,444.72372,180.66774,522.1257,223.38649,404.22223,193.5668,502.72995,253.80763,443.75372,225.80095,491.0452,263.94348,448.49295,264.12357,515.6129,317.60443,447.14117,322.8012,521.6986,390.50037,422.9887,392.93903
30,501.53104,161.93126,502.87796,156.88545,495.58878,156.42857,501.1312,160.58717,476.87064,159.08965,507.0702,188.53319,444.85358,179.74094,521.16547,223.36526,411.73743,195.09521,501.4663,252.7827,449.26154,225.27472,486.995,259.52692,443.5511,260.12878,518.7415,309.76785,448.74783,319.81506,523.8974,388.71237,422.7351,392.49164
31,504.50107,162.18468,505.23422,157.29648,499.3262,156.73656,502.12173,160.88335,481.9532,159.13446,508.0141,189.02911,448.14148,178.41809,521.64667,226.03496,414.3041,195.13295,501.04315,252.82745,449.13766,222.09566,489.39874,260.86588,446.6392,261.9548,523.42535,303.06216,450.0905,320.56665,528.5624,389.00458,421.99826,393.99167
32,510.80966,163.3312,510.4704,158.47734,505.79214,157.85797,504.81726,162.21524,486.50037,160.54584,508.2546,189.42096,450.8882,178.6108,524.575,224.57153,416.81766,188.28937,504.90662,249.1022,441.24545,213.2012,487.77423,258.99777,445.48087,261.09195,528.3445,299.78223,451.48703,322.0498,535.43835,387.60297,423.07288,393.74423
33,512.37854,166.2226,513.1993,161.58409,508.52768,160.4697,508.24417,163.9748,491.68057,160.79169,508.9248,190.25224,456.59415,179.4038,520.23413,230.45613,418.72577,180.29576,502.33902,254.85231,407.64688,157.42601,491.20358,263.42136,451.55457,265.48984,534.49634,300.23932,455.6854,320.4594,542.2189,389.60577,423.55893,392.6387
34,520.2852,167.00873,520.3535,161.90099,516.4582,161.16362,513.8738,163.83437,498.94626,161.42827,511.45505,191.80902,460.2645,179.83163,517.7537,232.82964,420.01538,180.65143,504.7935,250.08308,409.0837,159.38522,494.1539,265.17322,454.61475,266.36584,536.8193,306.80737,459.46667,320.97964,545.225,395.41626,425.53333,392.67896
35,523.2555,164.95656,523.63324,160.12627,518.64667,159.15776,517.7599,163.70222,499.94086,160.75621,513.09326,192.35004,460.8655,178.2591,524.97736,230.25946,418.11026,176.20013,504.0266,246.6217,410.81635,164.25284,494.80322,267.39984,455.5044,267.7802,534.6991,310.78326,458.9344,322.80646,544.8766,397.36966,424.7143,393.7271
36,521.7687,162.21133,523.75635,157.25267,516.9472,155.86633,521.2395,160.27757,499.10913,156.13182,516.8829,188.9769,461.16098,172.65828,533.85614,219.69878,412.16238,184.08444,510.63455,239.54454,450.4677,216.11153,488.10007,264.19153,447.66418,263.02777,525.5666,310.54883,457.04416,320.49597,543.3988,393.38995,423.91428,394.59866
37,523.609,154.70277,526.4372,149.80058,519.39,148.64449,526.49603,151.98663,504.48584,148.4037,530.02936,181.17062,465.08813,167.52869,544.0008,215.41322,431.55035,202.62677,528.9678,227.33829,468.1972,218.7404,490.62723,252.3714,445.9021,248.68439,515.6542,314.067,450.66217,315.72067,535.40814,389.99582,424.5543,393.04016
38,531.0841,144.95013,531.00183,139.70499,526.5189,140.31389,525.04584,141.50467,509.39365,143.05424,525.1363,161.12148,467.1711,169.49548,560.4356,174.9648,451.2011,219.71455,551.41864,200.57709,502.14786,224.27348,481.0534,244.42726,439.1462,247.91537,508.4882,306.56897,444.23856,317.19858,519.16644,385.3814,422.22797,391.57962
39,534.5767,146.96349,535.22626,141.03938,529.6313,140.53603,526.5046,140.87581,509.0948,139.82684,508.0465,165.26056,476.21738,168.47427,491.27573,211.08635,448.38885,220.16566,527.8442,216.04079,483.30978,239.74333,464.14566,234.00113,433.9582,236.08842,499.0048,296.66376,442.4053,305.92133,497.09436,384.86874,420.1342,389.12198
40,537.317,150.16301,537.5802,144.40617,533.0627,143.68436,527.0241,143.29674,513.1003,141.43245,507.61456,169.47743,475.15942,165.79228,493.95474,214.42465,442.38693,212.02681,537.9258,216.8691,478.35345,232.6227,459.22433,232.38805,430.74094,232.04893,487.52512,299.7109,442.21655,304.3157,476.13113,385.21298,414.40167,389.76114
41,534.61584,154.43365,535.1781,148.91635,532.04486,148.13042,523.4601,145.95319,515.8071,143.76474,502.3897,167.34273,483.26138,168.37471,507.66003,212.75461,498.18,218.87997,550.1545,213.14656,551.6308,219.37509,455.5017,229.1171,434.97937,229.06766,476.1833,306.0786,437.6484,307.24554,465.60574,388.33563,408.0205,390.20013
